FEEDER/TIME,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ALAGBAKA FDR,,,,,,,,,X,X,X,,,,X,X,X,,,,,,,
IJAPO FDR,X,X,X,X,X,,,,,,,,,,,,,,,,,,,X
IJOKA FDR,,,,,,,,,,,,X,X,X,,,,,,,,,,
OBA-ILE FDR,,,,,,,,,,,,,,,,,,X,X,X,,,,
EXPRESS FDR,,,,,,X,X,X,,,,,,,,,,,,,,,,
IGBATORO FDR,,,,,,,,,,,,X,X,X,,,,,,,,,,
IDANRE FDR,,,,,,,,,,X,X,X,,,,,,,,,,X,X,
ODA FDR,,,,,,,,,,,,,,,,,,,,,X,X,X,
,,,,,,,,,,,,,,,,,,,,,,,,
ALAGBAKA FDR,,,,,,,,,X,X,X,,,,X,X,X,,,,,,,
IJAPO FDR,X,X,X,X,X,,,,,,,,,,,,,,,,,,,X
IJOKA FDR,,,,,,X,X,X,,,,,,,,,,,,,,,,
OBA-ILE FDR,,,,,,,,,,,,X,X,X,,,,,,,,,,
EXPRESS FDR,,,,,,,,,,,,,,,,,,,,,X,X,X,
IGBATORO FDR,,,,,,,,,,,,,,,,,,X,X,X,,,,
IDANRE FDR,X,X,,,,,,,,,,,,,,X,X,X,,,,,,
ODA FDR,,,,,,,,,,,,X,X,X,,,,X,X,X,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ALAGBAKA FDR,,,,,,,,,X,X,X,,,,X,X,X,,,,,,,
IJAPO FDR,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,
IJOKA FDR,,,,,,,,,,,,X,X,X,,,,,,,X,X,X,
OBA-ILE FDR,,,X,X,X,,,,,,,,,,,,,,,,,,,
EXPRESS FDR,,,,,,,,,,,,X,X,X,,,,,,,,,,
IGBATORO FDR,,,,,,,,,X,X,X,,,,,,,X,X,X,,,,
IDANRE FDR,,,,,,,,,,,,,X,X,X,,,,,,,,,
ODA FDR,X,X,,,,,,,,,,,,,,,,,,,,,,X
,,,,,,,,,,,,,,,,,,,,,,,,
ALAGBAKA FDR,,,,,,,,,X,X,X,,,,X,X,X,,,,,,,
IJAPO FDR,X,X,X,X,X,,,,,,,,,,,,,,,,,,,X
IJOKA FDR,,,,,,X,X,X,,,,,,,,,,,,,,,,
OBA-ILE FDR,,,,,,,,,,,,X,X,X,,,,,,,,,,
EXPRESS FDR,,,,,,,,,,,,,,,,,,X,X,X,,,,
IGBATORO FDR,,,X,X,X,,,,,,,X,X,X,,,,,,,,,,
IDANRE FDR,,,,,,,,,,X,X,X,,,,,,,,,,X,X,
ODA FDR,,,,,,,,,,,,,,,,,,,,,X,X,X,
,,,,,,,,,,,,,,,,,,,,,,,,
ALAGBAKA FDR,,,,,,,,,X,X,X,,,,X,X,X,,,,,,,
IJAPO FDR,X,X,X,X,X,,,,,,,,,,,,,,,,,,,X
IJOKA FDR,X,X,,,,,,,,,,,,,,,,,,,,,,X
OBA-ILE FDR,,,,,,,,,,,,,,,,,,,,,X,X,X,
EXPRESS FDR,,,,,,,,,,,,X,X,X,,,,,,,,,,
IGBATORO FDR,,,,,,,,,,,,,,,,,,X,X,X,,,,
IDANRE FDR,,,,X,X,,,,,,,,,,,X,X,X,,,,,,
ODA FDR,,,,,,X,X,X,,,,X,X,X,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ALAGBAKA FDR,,,,,,,,,,,,,,,X,X,X,,,,X,X,X,
IJAPO FDR,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,
IJOKA FDR,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,
OBA-ILE FDR,X,X,,,,,,,,,,,,,,,,,,,,,,X
EXPRESS FDR,,,X,X,X,,,,,,,,,,,,,X,X,X,,,,
IGBATORO FDR,,,,,,X,X,X,,,,,,,,,,,,,,,,
IDANRE FDR,X,X,,,,,,,,,,,X,X,X,,,,,,,,,
ODA FDR,,,,,,,,,,,,X,X,X,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ALAGBAKA FDR,,,X,X,X,,,,,,,,,,X,X,X,,,,,,,
IJAPO FDR,X,X,X,X,X,,,,,,,,,,,,,,,,,,,X
IJOKA FDR,X,X,,,,,,,,,,,,,,,,X,X,X,,,,X
OBA-ILE FDR,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,
EXPRESS FDR,,,,,,,,,,,,X,X,X,,,,,,,,,,
IGBATORO FDR,,,,,,,,,,,,,,,,,,,,,X,X,X,
IDANRE FDR,X,X,,,,,,,,,,,X,X,X,,,,,,,,,
ODA FDR,,,,,,X,X,X,,,,,,,,,,,,,,,,
